evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 1:00:00 AM,2/22/2026 8:00:00 PM,2/23/2026 2:00:00 AM,2/22/2026 9:00:00 PM,RTO_COMBINED,110246
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 2:00:00 AM,2/22/2026 9:00:00 PM,2/23/2026 3:00:00 AM,2/22/2026 10:00:00 PM,RTO_COMBINED,107967
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 3:00:00 AM,2/22/2026 10:00:00 PM,2/23/2026 4:00:00 AM,2/22/2026 11:00:00 PM,RTO_COMBINED,105051
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 4:00:00 AM,2/22/2026 11:00:00 PM,2/23/2026 5:00:00 AM,2/23/2026 12:00:00 AM,RTO_COMBINED,101744
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 5:00:00 AM,2/23/2026 12:00:00 AM,2/23/2026 6:00:00 AM,2/23/2026 1:00:00 AM,RTO_COMBINED,97979
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 6:00:00 AM,2/23/2026 1:00:00 AM,2/23/2026 7:00:00 AM,2/23/2026 2:00:00 AM,RTO_COMBINED,96673
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 7:00:00 AM,2/23/2026 2:00:00 AM,2/23/2026 8:00:00 AM,2/23/2026 3:00:00 AM,RTO_COMBINED,96325
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 8:00:00 AM,2/23/2026 3:00:00 AM,2/23/2026 9:00:00 AM,2/23/2026 4:00:00 AM,RTO_COMBINED,96913
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 9:00:00 AM,2/23/2026 4:00:00 AM,2/23/2026 10:00:00 AM,2/23/2026 5:00:00 AM,RTO_COMBINED,99064
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 10:00:00 AM,2/23/2026 5:00:00 AM,2/23/2026 11:00:00 AM,2/23/2026 6:00:00 AM,RTO_COMBINED,103853
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 11:00:00 AM,2/23/2026 6:00:00 AM,2/23/2026 12:00:00 PM,2/23/2026 7:00:00 AM,RTO_COMBINED,110647
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 12:00:00 PM,2/23/2026 7:00:00 AM,2/23/2026 1:00:00 PM,2/23/2026 8:00:00 AM,RTO_COMBINED,115327
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 1:00:00 PM,2/23/2026 8:00:00 AM,2/23/2026 2:00:00 PM,2/23/2026 9:00:00 AM,RTO_COMBINED,115722
